Fredrick N. Wagner
Westley B. Andrews
Elian Karel
Henk Bodrogi
Carmine Osvaldo
Chamber of Commerce 
Wellness for All
Jeroen Karel
Hank Fluss
Cesare Nespola
Vincent Kapelou
Silvia Marek 
Mandor Vann 
Save Our Wildlands
University of Abila 
Isia Vann
Lucio Jakab
Lorenzo Di Stefano
Hyper Acidic Substrate Removal
HASR
Kyrla Halford
One World Research Institute for Social Development
Center for Change Now
Esme Nesmith
Petrus Gerhard
Juliana Vann
Elodis Community Health Center
Ale L. Hanne 
Valentine Mies
Yanick Cato
Joreto Katell
Mira 
Minister of Interior
Lemual Vann
Neske Vann
